term,medicare gov freq,medicare supplement plans freq,query
suffix,1,0,0.4598898602747082
jr,1,0,0.4598898602747082
sr,1,0,0.4598898602747082
ii,1,0,0.4598898602747082
iii,1,0,0.4598898602747082
iv,1,0,0.4598898602747082
v,1,0,0.4598898602747082
vi,1,13,0.9617282128966873
vii,1,0,0.4598898602747082
suffix none,1,0,0.4598898602747082
none jr,1,0,0.4598898602747082
jr sr,1,0,0.4598898602747082
sr i,1,0,0.4598898602747082
i ii,1,0,0.4598898602747082
ii iii,1,0,0.4598898602747082
iii iv,1,0,0.4598898602747082
iv v,1,0,0.4598898602747082
v vi,1,0,0.4598898602747082
vi vii,1,0,0.4598898602747082
n't,4,12,0.9082247571958488
email,1,0,0.4598898602747082
address,4,1,0.2123686764932295
i do,1,0,0.4598898602747082
do n't,2,3,0.5806845444992841
n't have,1,3,0.6066387345369202
have an,1,0,0.4598898602747082
an email,1,0,0.4598898602747082
email address,1,0,0.4598898602747082
zip,12,6,0.06443805374045719
code,14,6,0.0537261013299683
city,2,0,0.3589976104421632
zip code,12,6,0.06443805374045719
code or,1,0,0.4598898602747082
or city,1,0,0.4598898602747082
coverage,77,64,0.10330613724372795
start,7,40,0.9700869583617495
date,5,8,0.788224093989921
a coverage,2,0,0.3589976104421632
coverage start,2,0,0.3589976104421632
start date,2,0,0.3589976104421632
b,27,70,0.9321329944571086
part b,24,52,0.9185848195051598
b coverage,1,1,0.5
month,2,5,0.7056455900887029
january,1,10,0.9139966724235233
february,1,0,0.4598898602747082
march,1,1,0.5
april,1,0,0.4598898602747082
a start,2,0,0.3589976104421632
start month,1,0,0.4598898602747082
month month,1,0,0.4598898602747082
month january,1,0,0.4598898602747082
january february,1,0,0.4598898602747082
february march,1,0,0.4598898602747082
march april,1,0,0.4598898602747082
june,1,0,0.4598898602747082
july,1,0,0.4598898602747082
may june,1,0,0.4598898602747082
june july,1,0,0.4598898602747082
august,1,0,0.4598898602747082
september,1,0,0.4598898602747082
october,1,1,0.5
november,1,0,0.4598898602747082
december,1,1,0.5
